Run	bases	avgLength	InsertSize	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	Platform	BioProject	BioSample	ScientificName	CenterName	Consent
ERR2743227	31151274474	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827661	Bos taurus	ETH ZURICH	public
ERR2743226	32280248188	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827660	Bos taurus	ETH ZURICH	public
ERR2743225	30748150876	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827659	Bos taurus	ETH ZURICH	public
ERR2743224	31314600076	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827658	Bos taurus	ETH ZURICH	public
ERR2743223	27146854482	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827657	Bos taurus	ETH ZURICH	public
ERR2743222	38002251470	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827656	Bos taurus	ETH ZURICH	public
ERR2743221	36695951704	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827655	Bos taurus	ETH ZURICH	public
ERR2743220	34568026606	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827654	Bos taurus	ETH ZURICH	public
ERR2743219	31130753098	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827653	Bos taurus	ETH ZURICH	public
ERR2743218	33982331734	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827652	Bos taurus	ETH ZURICH	public
ERR2743217	47593588862	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827651	Bos taurus	ETH ZURICH	public
ERR2743216	33743124814	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827650	Bos taurus	ETH ZURICH	public
ERR2743215	37853358150	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827649	Bos taurus	ETH ZURICH	public
ERR2743214	35256613086	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827648	Bos taurus	ETH ZURICH	public
ERR2743213	48138387940	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827647	Bos taurus	ETH ZURICH	public
ERR2743212	42073989182	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827646	Bos taurus	ETH ZURICH	public
ERR2740799	46924185152	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827645	Bos taurus	ETH ZURICH	public
ERR2561428	55792707419	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644768	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561424	41640866516	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644764	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561410	54833336513	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644750	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561409	52322035134	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644749	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561401	57853427292	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644741	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561400	57789419307	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644740	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561394	56797599522	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644734	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2561390	53862095850	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA4644730	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR12542720	143319066429	13124	0	WGS	size fractionation	GENOMIC	SINGLE	PACBIO_SMRT	PRJEB72196	SAMEA115160494	Bos taurus	ETH ZURICH	public
ERR12522411	156303622618	13880	0	WGS	size fractionation	GENOMIC	SINGLE	PACBIO_SMRT	PRJEB42335	SAMEA115129362	Bos taurus	ETH ZURICH	public
ERR10166768	47154991463	15872	0	WGS	RANDOM	GENOMIC	SINGLE	PACBIO_SMRT	PRJEB42335	SAMEA111341792	Bos taurus	ETH ZURICH	public
ERR10166767	62779438653	16430	0	WGS	RANDOM	GENOMIC	SINGLE	PACBIO_SMRT	PRJEB42335	SAMEA111341791	Bos taurus	ETH ZURICH	public
ERR8135893	70050804869	299	0	WGS	RANDOM	GENOMIC	SINGLE	ILLUMINA	PRJEB18113	SAMEA12596601	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR8135892	63511981351	299	0	WGS	RANDOM	GENOMIC	SINGLE	ILLUMINA	PRJEB18113	SAMEA12596600	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR8135891	61854866274	299	0	WGS	RANDOM	GENOMIC	SINGLE	ILLUMINA	PRJEB18113	SAMEA12596599	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR7531211	70928384443	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA10833860	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR7531185	49983067994	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA10833834	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR7531184	63266508289	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA10833833	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR6890253	85492686230	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9986201	Bos taurus	ETH ZURICH	public
ERR6890252	84583447884	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9986200	Bos taurus	ETH ZURICH	public
ERR6890251	91477890746	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9986199	Bos taurus	ETH ZURICH	public
ERR5711630	76818957859	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA8565035	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR5711629	69825369939	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA8565034	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR5711691	75282258152	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA8565096	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR5711624	53406828034	299	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA8565029	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR5037721	86877101902	19338	0	WGS	RANDOM	GENOMIC	SINGLE	PACBIO_SMRT	PRJEB42335	SAMEA7759028	Bos taurus	ETH ZURICH	public
ERR4854279	44000712600	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA7589750	Bos taurus	ETH ZURICH	public
ERR4854278	46796729100	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA7589749	Bos taurus	ETH ZURICH	public
ERR4854277	41454509400	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA7589748	Bos taurus	ETH ZURICH	public
ERR4854276	50519298900	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA7589747	Bos taurus	ETH ZURICH	public
ERR6473937	32702932800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533802	Bos taurus	ETH ZURICH	public
ERR6473936	29557227300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533801	Bos taurus	ETH ZURICH	public
ERR6473935	38052537600	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533800	Bos taurus	ETH ZURICH	public
ERR6473934	31347072900	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533799	Bos taurus	ETH ZURICH	public
ERR6473930	30911428500	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533795	Bos taurus	ETH ZURICH	public
ERR6473928	29957151300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533793	Bos taurus	ETH ZURICH	public
ERR6473926	30235763400	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA9533791	Bos taurus	ETH ZURICH	public
